115.778, 1946, Jul Average, Uganda, UGA
190.36, 1946, Aug Average, Uganda, UGA
121.348, 1946, Sep Average, Uganda, UGA
127.043, 1946, Oct Average, Uganda, UGA
102.467, 1946, Nov Average, Uganda, UGA
51.268, 1946, Dec Average, Uganda, UGA
75.5841, 1947, Jan Average, Uganda, UGA
63.0383, 1947, Feb Average, Uganda, UGA
120.498, 1947, Mar Average, Uganda, UGA
227.016, 1947, Apr Average, Uganda, UGA
164.834, 1947, May Average, Uganda, UGA
100.49, 1947, Jun Average, Uganda, UGA
142.551, 1947, Jul Average, Uganda, UGA
105.87, 1947, Aug Average, Uganda, UGA
141.381, 1947, Sep Average, Uganda, UGA
57.1591, 1947, Oct Average, Uganda, UGA
44.0165, 1947, Nov Average, Uganda, UGA
63.7742, 1947, Dec Average, Uganda, UGA
34.3281, 1948, Jan Average, Uganda, UGA
48.8741, 1948, Feb Average, Uganda, UGA
82.1455, 1948, Mar Average, Uganda, UGA
145.929, 1948, Apr Average, Uganda, UGA
144.366, 1948, May Average, Uganda, UGA
120.212, 1948, Jun Average, Uganda, UGA
118.986, 1948, Jul Average, Uganda, UGA
136.998, 1948, Aug Average, Uganda, UGA
132.35, 1948, Sep Average, Uganda, UGA
130.836, 1948, Oct Average, Uganda, UGA
78.063, 1948, Nov Average, Uganda, UGA
34.7719, 1948, Dec Average, Uganda, UGA
11.599, 1949, Jan Average, Uganda, UGA
30.3757, 1949, Feb Average, Uganda, UGA
38.5059, 1949, Mar Average, Uganda, UGA
152.184, 1949, Apr Average, Uganda, UGA
133.386, 1949, May Average, Uganda, UGA
82.3283, 1949, Jun Average, Uganda, UGA
119.9, 1949, Jul Average, Uganda, UGA
133.605, 1949, Aug Average, Uganda, UGA
134.861, 1949, Sep Average, Uganda, UGA
99.1986, 1949, Oct Average, Uganda, UGA
54.0073, 1949, Nov Average, Uganda, UGA
82.3911, 1949, Dec Average, Uganda, UGA
34.3797, 1950, Jan Average, Uganda, UGA
34.4262, 1950, Feb Average, Uganda, UGA
115.878, 1950, Mar Average, Uganda, UGA
159.993, 1950, Apr Average, Uganda, UGA
140.804, 1950, May Average, Uganda, UGA
93.7979, 1950, Jun Average, Uganda, UGA
110.482, 1950, Jul Average, Uganda, UGA
134.3, 1950, Aug Average, Uganda, UGA
114.15, 1950, Sep Average, Uganda, UGA
114.579, 1950, Oct Average, Uganda, UGA
35.7395, 1950, Nov Average, Uganda, UGA
37.3508, 1950, Dec Average, Uganda, UGA
